GENE	adrenal_gland	anus	ascites	cardia	cerebral_cortex	cervix_uteri	colon	earwax	esophagus	gall_bladder	hair_follicle	kidney	liver	lung	lymph_node	milk	nasopharynx	oral_cavity	ovary	pancreas	placenta	prostate	rectum	saliva	salivary_gland	seminal_vesicle	skin	spleen	stomach	testis	thyroid_gland	tonsil	tube	uterus_post-menopause	uterus_pre-menopause	vulva
ENSG00000168564	x	102.883306243799	x	x	x	x	28.9687374515745	x	24.8057248822817	x	x	x	x	10.2221182197033	127.275198578574	x	x	x	279.615852277085	17.0703765820998	x	12.6615820783623	x	x	6.08144557475685	x	x	199.838084947237	45.4064137713453	58.8907658259559	x	8.43085479441354	x	x	x	x
ENSG00000005884	57.8039994372258	86.4672171840216	9.29188439648363	130.681957212306	122.872357198022	122.156924067797	153.456586200857	x	73.9146312152092	x	x	131.475419546998	10.805952537544	233.521016442304	18.059385984528	x	x	101.372312017719	71.4101937991791	46.6265232231089	199.376507416389	231.102912137649	116.165274565219	x	27.1816975141852	264.858160575706	x	25.564540636778	112.749454163014	406.605253194104	125.809008700558	104.674009379445	93.2562531695595	116.681367189533	117.144555951701	x
ENSG00000128595	139.926266850709	316.005817568346	36.1492790118347	84.7344903628666	622.190441219644	79.2068386943736	111.939315416427	x	266.257899032302	66.6256352634348	x	20.4597535724876	127.168625201517	164.582151927885	39.0324953882559	71.791889002171	163.578024566496	946.512677473279	348.088279623654	71.4592225844514	618.277474941001	294.96533332416	234.334610145948	62.2505049410042	144.914010918295	260.782258748919	221.657090739582	72.7592209430537	194.952034511764	634.08153829319	127.682388022294	233.475811481839	302.33787640001	131.137889401323	268.082849450485	133.757438704066
ENSG00000086102	x	x	x	x	x	x	x	x	x	x	x	x	11.2109635045942	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	26.1036773152301	x	x	x	x	x	x
ENSG00000100211	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	35.0805196351163	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000140455	x	x	x	x	x	x	x	x	x	x	x	x	x	x	2.99895059129626	x	x	x	x	x	x	x	x	x	x	x	x	5.8432071792935	3.7446460529742	x	x	x	x	x	x	x
ENSG00000183617	x	x	x	x	x	x	x	x	x	x	x	46.0289983193611	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	63.9943186151861	x	x	x	x	x	x
ENSG00000136159	20.127620776394	82.1135077478558	x	11.3760159448081	x	13.292377402436	25.0473258995024	x	32.1717718802138	x	x	x	147.612800691568	x	x	x	x	x	116.264789708402	x	x	32.8428644759045	x	x	39.4366382481254	x	28.7985856998903	45.9463245170662	x	74.9914304774159	x	54.6719635262137	27.0602166675149	x	x	x
ENSG00000175220	588.060496082107	657.19393863945	45.2535418740745	452.586789019637	332.45315806813	900.659984931517	381.468918091948	397.998188843664	493.306857081181	113.734670298187	327.526373284585	145.137955589523	101.563483438695	601.614817284244	371.358052419821	29.9576030651035	250.281109192687	691.187961389438	496.115785014222	825.751016531439	478.46765939542	1049.68604171339	513.366377412327	103.904546518812	455.978680601169	95.5494888424225	465.453408224479	1053.44006401715	811.469792540912	753.245575461294	754.797326724383	428.219976717853	773.785893377342	340.95851244344	525.773351403753	401.866793617548
ENSG00000188089	x	x	x	x	x	x	x	289.862041084178	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000034510	x	3603.516521715	1642.2656325269	1395.44266555245	7303.53243999038	112.44922496093	1112.43456096802	x	1270.0931232065	154.780045264669	x	290.465251491129	50.1472716432245	3252.4884137039	2028.15521651981	713.456020577691	2167.48211315148	2295.58213703109	5481.88729264808	1357.86930011785	478.779752863953	577.617123457594	1497.07216915317	353.505891634063	433.707609507811	325.080166172556	548.160176598114	1797.3254898182	x	3563.21335748478	x	2590.04018176121	x	1804.46793379845	3805.94771145261	455.74611171345
ENSG00000120029	25.6298545696011	5.22803287372547	x	x	x	x	x	14.8231464758367	x	x	x	x	x	6.75270300456728	4.00369732982232	x	x	x	7.05611741230008	x	11.5306995591416	x	x	x	24.1043166917894	x	x	62.3279695230729	74.9883781693558	9.84672368461658	x	x	x	x	x	x
ENSG00000141956	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	4.10974938083485	x	x	x	x	12.3966998197465	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000187608	187.559796143479	874.488016522851	x	181.727523747772	40.6827196693234	212.340668454143	100.030373865145	x	199.862369641633	x	x	146.264735776244	100.27728684798	635.353941833284	355.775251429122	x	x	916.300211686052	188.435567026122	235.779160811642	180.818343213595	121.630220032454	89.7447178994408	x	167.996075217395	68.2063292815516	38.3372035522651	766.7116428491	235.185631735718	328.265169080085	114.09858066713	232.89701416852	108.069164787652	162.258175337932	287.474629169619	71.7163932137916
ENSG00000153922	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	5.38121593371463	x	x	x	x	x	x	x	x
ENSG00000226479	x	10.105240453719	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
