GeneID	#Tissues	maxPeptides	medianSpectralCount	medianAbundance	SpectralCount.Adult_Adrenalgland	SpectralCount.Adult_Bcells	SpectralCount.Adult_CD4Tcells	SpectralCount.Adult_CD8Tcells	SpectralCount.Adult_Colon	SpectralCount.Adult_Esophagus	SpectralCount.Adult_Frontalcortex	SpectralCount.Adult_Gallbladder	SpectralCount.Adult_Heart	SpectralCount.Adult_Kidney	SpectralCount.Adult_Liver	SpectralCount.Adult_Lung	SpectralCount.Adult_Monocytes	SpectralCount.Adult_NKcells	SpectralCount.Adult_Ovary	SpectralCount.Adult_Pancreas	SpectralCount.Adult_Platelets	SpectralCount.Adult_Prostate	SpectralCount.Adult_Rectum	SpectralCount.Adult_Retina	SpectralCount.Adult_Spinalcord	SpectralCount.Adult_Testis	SpectralCount.Adult_Urinarybladder	SpectralCount.Fetal_Brain	SpectralCount.Fetal_Gut	SpectralCount.Fetal_Heart	SpectralCount.Fetal_Liver	SpectralCount.Fetal_Ovary	SpectralCount.Fetal_Placenta	SpectralCount.Fetal_Testis	WithInSampleAbundance.Adult_Adrenalgland	WithInSampleAbundance.Adult_Bcells	WithInSampleAbundance.Adult_CD4Tcells	WithInSampleAbundance.Adult_CD8Tcells	WithInSampleAbundance.Adult_Colon	WithInSampleAbundance.Adult_Esophagus	WithInSampleAbundance.Adult_Frontalcortex	WithInSampleAbundance.Adult_Gallbladder	WithInSampleAbundance.Adult_Heart	WithInSampleAbundance.Adult_Kidney	WithInSampleAbundance.Adult_Liver	WithInSampleAbundance.Adult_Lung	WithInSampleAbundance.Adult_Monocytes	WithInSampleAbundance.Adult_NKcells	WithInSampleAbundance.Adult_Ovary	WithInSampleAbundance.Adult_Pancreas	WithInSampleAbundance.Adult_Platelets	WithInSampleAbundance.Adult_Prostate	WithInSampleAbundance.Adult_Rectum	WithInSampleAbundance.Adult_Retina	WithInSampleAbundance.Adult_Spinalcord	WithInSampleAbundance.Adult_Testis	WithInSampleAbundance.Adult_Urinarybladder	WithInSampleAbundance.Fetal_Brain	WithInSampleAbundance.Fetal_Gut	WithInSampleAbundance.Fetal_Heart	WithInSampleAbundance.Fetal_Liver	WithInSampleAbundance.Fetal_Ovary	WithInSampleAbundance.Fetal_Placenta	WithInSampleAbundance.Fetal_Testis
ENSG00000143641	21	21	8	1.96670503322648e-05	14	9.5	-	7	-	-	-	-	-	-	42	4	8	13	19	20	6	10	5	9	-	20	3	5	16	6	24	6.5	-	7	6.1804562339974e-05	1.01648810940482e-05	-	4.32343251024888e-06	-	-	-	-	-	-	0.000117998532821575	4.35707405795914e-05	3.69679099294363e-05	1.33906549377032e-05	1.06869759483419e-05	5.54415258872084e-05	1.34991225257786e-05	3.18082016813619e-05	1.99943086262941e-05	1.80044830769717e-05	-	2.30107233547035e-05	1.79807939655921e-06	1.08368518357258e-05	3.08651006578955e-05	5.29826964989606e-06	1.76713286629567e-05	2.43725503981363e-05	-	9.4922921353826e-06
ENSG00000143653	28	14	15	7.10392317215938e-05	27.5	8	-	16	10.5	-	27	9	9	10	24	8	8	14	37.5	11.5	13	17	9.5	26	29	39	18	11	7	15.5	21	32.5	10	38.5	0.000284007840092898	1.17524599778627e-05	-	2.39010708677979e-05	3.93740681639171e-05	-	0.000103469892367647	3.74892870100043e-05	0.000105024918558153	9.19794449346739e-05	0.000237665423679202	2.49557488868477e-05	6.35868899529654e-05	2.1517692201697e-05	0.000316308687386084	7.66508972444942e-05	0.000127338642924281	5.78956938137302e-05	2.95101263502347e-05	9.36843556455728e-05	9.80708788115334e-05	0.000191809588219577	4.97649242889344e-05	5.60212001372231e-05	2.92261323791864e-05	5.86761723316141e-05	6.0269247441094e-05	0.000142146403731789	8.10904873168044e-05	0.000131587550075127
ENSG00000143669	6	21	8.5	3.05499240823588e-06	-	13	-	8	-	-	-	-	-	-	-	-	23	4	-	-	-	-	-	9	-	3	-	-	-	-	-	-	-	-	-	6.60518325979407e-06	-	2.57229842390267e-06	-	-	-	-	-	-	-	-	4.65164492499196e-05	9.80178767244135e-07	-	-	-	-	-	3.53768639256909e-06	-	1.73783654966212e-06	-	-	-	-	-	-	-	-
ENSG00000143674	1	7	7	1.00523289031685e-05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.00523289031685e-05	-	-	-	-	-	-	-	-
ENSG00000143702	16	41	10.5	1.30964219543302e-05	-	21	-	12	-	-	18	5	-	-	-	-	10	5	4	7	8.5	-	-	7	13	35	-	98.5	-	8.5	-	14	-	4	-	1.44242366936167e-05	-	8.19931236564211e-06	-	-	2.73703577611371e-05	5.61009187000129e-06	-	-	-	-	2.27496152100861e-05	1.19622700924234e-06	8.30014725046763e-06	1.92722833162626e-05	1.69793613681834e-05	-	-	3.10046845066468e-06	1.4946922056125e-05	5.79135942810615e-05	-	9.35229108719813e-05	-	5.2422435738045e-06	-	3.41049079253034e-05	-	1.82124426162964e-06
ENSG00000143727	29	13	16	5.37144684352829e-05	21	24	17	42	14.5	-	10	12	11	11	9.5	9	7	13	17.5	11.5	28	17.5	17.5	28	15.5	23	11.5	23.5	14	21.5	22	30.5	12	36.5	0.000186714359365131	6.16259267648338e-05	5.09374015904448e-05	5.81626915482948e-05	3.68505191127559e-05	-	7.58662105925861e-06	4.63922554631456e-05	6.72860411130746e-05	1.60812156226407e-05	4.29969182489215e-05	3.46538459238743e-05	6.27850923972885e-05	7.14272020354254e-05	7.52776935358846e-05	0.000116352418915663	0.000122524282100355	6.00254607962759e-05	6.52400427097704e-05	6.74378319186612e-05	6.48195477275809e-05	0.000130566530678402	3.90557242120832e-05	0.000106621447165398	1.89728931484425e-05	3.13646277105767e-05	5.61499591220666e-05	0.000159697380872409	2.95487593416689e-05	7.53336016077131e-05
ENSG00000143742	28	11	13	5.13784233949092e-05	12	18.5	13.5	25.5	9	-	11	11.5	7	10.5	9	5	11	22	11	14.5	-	15	12	14	7.5	13	8.5	15	12	30	19	17.5	11	25	3.40890894750334e-05	9.97772650728173e-05	0.000301168895319744	4.9535294879487e-05	3.01261798608019e-05	-	7.13529774820552e-05	8.28473959661233e-05	1.54835855335526e-05	2.40058776317289e-05	5.14332165174121e-05	3.85062981030472e-05	0.000255040362624717	5.14966782375834e-05	2.0318561447225e-05	7.62734703215723e-05	-	5.44507221841113e-05	8.01729007945362e-05	9.70173872735672e-05	2.04228222078354e-05	5.13784233949092e-05	2.45022227148372e-05	0.000248249571090811	3.99982135709026e-05	8.82208039491649e-05	4.65086251896212e-05	0.000221461853561991	7.62695054962257e-05	7.52928045104379e-05
ENSG00000143748	6	9	5	6.89997083971807e-06	-	10	3	8	-	-	-	-	-	-	-	-	-	-	-	3	-	-	-	-	-	6	-	-	-	-	-	3	-	-	-	3.80596150471224e-06	6.85974996934088e-06	8.72395453144174e-06	-	-	-	-	-	-	-	-	-	-	-	6.38426044338475e-06	-	-	-	-	-	7.46107450529901e-06	-	-	-	-	-	1.08306595188958e-05	-	-
ENSG00000143751	4	9	5.5	9.08126928066933e-06	-	9	7	5.5	-	-	-	-	-	-	-	-	-	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.80041578054071e-05	3.47352688593185e-05	4.33430118985082e-06	-	-	-	-	-	-	-	-	-	7.10090626820728e-06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ENSG00000143753	5	5	3	5.23611754679278e-06	-	-	-	-	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-	5	5	-	3	-	3	-	-	-	-	-	-	-	-	-	-	6.97983593165232e-06	-	-	-	-	-	-	-	-	-	-	-	-	-	5.23611754679278e-06	1.41842306926779e-05	-	2.25598905457572e-06	-	2.20841658215705e-06	-	-	-	-
