GeneID	#Tissues	maxPeptides	medianSpectralCount	medianTop3Abundance	SpectralCount.CSF	SpectralCount.adipocyte	SpectralCount.bone	SpectralCount.breast	SpectralCount.heart	SpectralCount.lung	SpectralCount.ovary	SpectralCount.pancreas	SpectralCount.platelets_lysate	SpectralCount.platelets_secreted	WithInSampleTop3Abundance.CSF	WithInSampleTop3Abundance.adipocyte	WithInSampleTop3Abundance.bone	WithInSampleTop3Abundance.breast	WithInSampleTop3Abundance.heart	WithInSampleTop3Abundance.lung	WithInSampleTop3Abundance.ovary	WithInSampleTop3Abundance.pancreas	WithInSampleTop3Abundance.platelets_lysate	WithInSampleTop3Abundance.platelets_secreted
ENSG00000029725	1	4	25.5	4.28573572765272e-05	-	-	-	-	-	-	-	-	25.5	-	-	-	-	-	-	-	-	-	4.28573572765272e-05	-
ENSG00000030066	2	10	8	8.16239545128812e-05	-	-	-	11	-	-	-	5	-	-	-	-	-	0.000145268121643702	-	-	-	1.79797873820609e-05	-	-
ENSG00000031698	2	16	49	0.000106748655790561	-	-	-	-	17	-	-	-	57	-	-	-	-	-	0.000126801153242291	-	-	-	9.10780256610875e-05	-
ENSG00000031823	1	3	3	3.33744619675185e-05	-	-	-	-	-	3	-	-	-	-	-	-	-	-	-	3.33744619675185e-05	-	-	-	-
ENSG00000032444	3	7	14	8.99134249768816e-05	-	-	-	14	-	13	-	17	-	-	-	-	-	0.000154054396844407	-	8.99134249768816e-05	-	4.07295897461079e-05	-	-
ENSG00000033011	1	3	4	2.96775939723251e-05	-	-	4	-	-	-	-	-	-	-	-	-	2.96775939723251e-05	-	-	-	-	-	-	-
ENSG00000033050	3	20	7.5	0.000322733953577641	-	-	-	7	-	33.5	-	8	-	-	-	-	-	0.000346936020457148	-	0.000934830928504221	-	0.000298531886698134	-	-
ENSG00000033170	1	3	4	0.000255336829440543	-	-	-	4	-	-	-	-	-	-	-	-	-	0.000255336829440543	-	-	-	-	-	-
ENSG00000033178	1	8	20	2.17686702109949e-05	-	-	-	-	-	-	-	-	20	-	-	-	-	-	-	-	-	-	2.17686702109949e-05	-
ENSG00000033867	1	16	97	0.000200268520080028	-	-	-	-	-	-	-	97	-	-	-	-	-	-	-	-	-	0.000200268520080028	-	-
ENSG00000034152	1	7	77	0.000215558596748707	-	-	-	-	-	-	-	-	77	-	-	-	-	-	-	-	-	-	0.000215558596748707	-
ENSG00000034510	1	3	64	0.000385770564658229	-	-	-	-	-	-	-	-	64	-	-	-	-	-	-	-	-	-	0.000385770564658229	-
ENSG00000034713	1	3	4	2.21030739643794e-05	-	-	4	-	-	-	-	-	-	-	-	-	2.21030739643794e-05	-	-	-	-	-	-	-
ENSG00000035141	1	4	23.5	7.72573812264338e-05	-	-	-	-	-	-	-	-	23.5	-	-	-	-	-	-	-	-	-	7.72573812264338e-05	-
ENSG00000035403	5	123	312	0.00151404846089929	3	174	-	-	13	-	-	-	1756	730.5	5.00167665234834e-05	0.000257970993744988	-	-	0.000132550326018406	-	-	-	0.00492127043226652	0.00235466698865055
ENSG00000035862	1	4	17	0.000228484476754319	17	-	-	-	-	-	-	-	-	-	0.000228484476754319	-	-	-	-	-	-	-	-	-
ENSG00000035928	1	10	12.5	0.000121508200878499	-	-	-	-	-	12.5	-	-	-	-	-	-	-	-	-	0.000121508200878499	-	-	-	-
ENSG00000036257	2	8	30	5.46460580567725e-05	-	-	-	11	-	-	-	-	44	-	-	-	-	0.000101112640244699	-	-	-	-	4.30822904621552e-05	-
ENSG00000036448	1	70	84.5	0.000222056343784218	-	-	-	-	84.5	-	-	-	-	-	-	-	-	-	0.000222056343784218	-	-	-	-	-
ENSG00000037241	2	17	16	0.000403608224872522	-	-	-	7	-	44	-	-	-	-	-	-	-	7.19946013660757e-05	-	0.00384511731761542	-	-	-	-
ENSG00000037474	2	25	46	0.000760750416137476	-	-	-	6	-	48	-	-	-	-	-	-	-	9.0033717661988e-05	-	0.000831386484014442	-	-	-	-
ENSG00000038274	4	5	11.5	5.61568257164399e-05	-	-	-	9	9	-	3	-	25.5	-	-	-	-	0.000356931308036533	3.23371432565689e-05	-	0.00126650015561658	-	4.82957328289375e-05	-
ENSG00000038358	3	9	15	0.00019300063829906	-	-	20	14	-	10	-	-	-	-	-	-	0.000188048719278347	0.000496831369596339	-	0.000155191688114608	-	-	-	-
ENSG00000038427	1	7	23.5	0.000216861595253885	-	-	-	-	23.5	-	-	-	-	-	-	-	-	-	0.000216861595253885	-	-	-	-	-
ENSG00000038945	1	3	9	0.000235474831099431	-	-	-	-	-	-	-	9	-	-	-	-	-	-	-	-	-	0.000235474831099431	-	-
ENSG00000039123	2	8	7	6.3575030562158e-05	-	-	-	-	-	5	-	9	-	-	-	-	-	-	-	9.87913332734112e-05	-	6.3575030562158e-05	-	-
ENSG00000039560	1	8	8	5.4476023828292e-05	-	-	-	-	-	-	-	8	-	-	-	-	-	-	-	-	-	5.4476023828292e-05	-	-
ENSG00000040341	1	9	11.5	0.000231525879830149	-	-	-	-	-	11.5	-	-	-	-	-	-	-	-	-	0.000231525879830149	-	-	-	-
ENSG00000041353	2	17	240	0.00143633059994907	-	-	6	-	-	-	-	-	283	-	-	-	6.63046831321141e-05	-	-	-	-	-	0.00155463027147774	-
ENSG00000041357	6	11	22	0.000246973200913494	-	-	8	3	46.5	-	3	36	66	-	-	-	7.09891219534694e-05	0.000155934843285369	0.000189048536547607	-	0.000543814194902899	0.00135307089294121	0.000290715577640342	-
ENSG00000041802	1	20	29	0.000440533069991378	-	-	-	-	-	29	-	-	-	-	-	-	-	-	-	0.000440533069991378	-	-	-	-
ENSG00000041982	1	3	5	2.16804086321576e-05	-	-	-	-	5	-	-	-	-	-	-	-	-	-	2.16804086321576e-05	-	-	-	-	-
ENSG00000042062	1	3	18	2.78309108442608e-05	-	-	-	-	-	-	-	-	18	-	-	-	-	-	-	-	-	-	2.78309108442608e-05	-
ENSG00000042286	1	3	12	8.28759191771844e-05	-	12	-	-	-	-	-	-	-	-	-	8.28759191771844e-05	-	-	-	-	-	-	-	-
ENSG00000042445	2	7	10	2.5607706790903e-05	-	12	-	9	-	-	-	-	-	-	-	2.50879042521119e-05	-	0.000485450434986975	-	-	-	-	-	-
ENSG00000042493	1	3	7	1.63393865610541e-05	-	-	-	-	7	-	-	-	-	-	-	-	-	-	1.63393865610541e-05	-	-	-	-	-
