GENE	adrenal_gland	anus	ascites	cardia	cerebral_cortex	cervix_uteri	colon	earwax	esophagus	gall_bladder	hair_follicle	kidney	liver	lung	lymph_node	milk	nasopharynx	oral_cavity	ovary	pancreas	placenta	prostate	rectum	saliva	salivary_gland	seminal_vesicle	skin	spleen	stomach	testis	thyroid_gland	tonsil	tube	uterus_post-menopause	uterus_pre-menopause	vulva
ENSG00000067048	x	2.6249716002682	x	x	x	x	6.38326746439637	x	2.85036113541143	x	25.3689533733858	x	x	x	x	x	x	x	x	x	x	7.77364503456027	x	x	x	x	x	x	3.61236189978086	3.59571462730718	x	x	x	x	x	x
ENSG00000197683	x	x	x	x	x	x	x	x	x	x	1701.39979832741	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000140374	365.601555952558	109.69041250924	36.8884914539215	136.656123950384	137.88853202333	89.2943947312021	111.658336210396	193.208711517129	121.87879992649	674.444610908172	295.841708119021	321.026987959241	478.174304137213	162.365553834569	233.621563450529	x	318.391627410021	187.3939821208	80.3992800184072	177.755344316862	213.3773913512	73.3273508025694	213.922817595383	83.3552858740381	288.702879928964	9.44569994239194	175.31280605781	119.68111855437	145.099958600876	131.941637558905	97.6926130081644	219.305903073441	120.856108820908	107.739741356591	82.9066517049541	187.688457041273
ENSG00000079112	x	x	x	x	x	x	263.145577542387	x	x	x	x	x	x	x	x	x	x	x	x	22.3892094041038	x	2.52270921391337	363.665268885437	x	x	x	x	x	37.6821612742733	x	x	x	x	x	x	x
ENSG00000184984	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.953476615061143	x	x	x	x	x	x	x	x	x	x	x
ENSG00000137693	1.14738072875208	4.32308216494707	x	x	38.2751618224487	1.4550708292976	2.62816078911095	x	16.4299716058404	x	x	x	3.31313239207463	x	x	x	x	3.608828498015	11.2790469968926	x	9.27207786397993	4.26748822756828	3.55426834804933	x	2.86678871108602	62.6966062188321	15.1927628376162	x	x	10.9734643766599	3.06592298861954	2.73278011643179	x	x	16.6384003046262	3.1807595498584
ENSG00000145826	x	x	x	x	x	x	x	x	5.88201264944466	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	9.68090319961305	x	6.84844339298923	7.12880225093927	x	x	x
ENSG00000187024	6.90218555773074	x	x	x	x	x	x	x	x	x	x	3.24678377495394	x	x	x	x	x	x	3.12315370864571	x	x	x	x	x	5.748486427356	x	x	x	1.98823039184323	x	x	x	x	x	x	x
ENSG00000172409	x	x	x	x	x	3.22565599036897	x	x	x	x	x	x	x	x	3.91824960113933	x	x	4.00009368219404	x	x	x	x	x	x	x	x	x	4.59200643564651	4.3961529485355	4.3758936395292	x	x	3.15306777177068	x	x	x
ENSG00000135749	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.981081874733893	x	x	x	x
