GeneID	#Tissues	maxPeptides	medianSpectralCount	medianTop3Abundance	SpectralCount.adrenal_gland	SpectralCount.anus	SpectralCount.ascites	SpectralCount.cardia	SpectralCount.cerebral_cortex	SpectralCount.cervix_uteri	SpectralCount.colon	SpectralCount.earwax	SpectralCount.esophagus	SpectralCount.gall_bladder	SpectralCount.hair_follicle	SpectralCount.kidney	SpectralCount.liver	SpectralCount.lung	SpectralCount.lymph_node	SpectralCount.milk	SpectralCount.nasopharynx	SpectralCount.oral_cavity	SpectralCount.ovary	SpectralCount.pancreas	SpectralCount.placenta	SpectralCount.prostate	SpectralCount.rectum	SpectralCount.saliva	SpectralCount.salivary_gland	SpectralCount.seminal_vesicle	SpectralCount.skin	SpectralCount.spleen	SpectralCount.stomach	SpectralCount.testis	SpectralCount.thyroid_gland	SpectralCount.tonsil	SpectralCount.tube	SpectralCount.uterus_post-menopause	SpectralCount.uterus_pre-menopause	SpectralCount.vulva	WithInSampleTop3Abundance.adrenal_gland	WithInSampleTop3Abundance.anus	WithInSampleTop3Abundance.ascites	WithInSampleTop3Abundance.cardia	WithInSampleTop3Abundance.cerebral_cortex	WithInSampleTop3Abundance.cervix_uteri	WithInSampleTop3Abundance.colon	WithInSampleTop3Abundance.earwax	WithInSampleTop3Abundance.esophagus	WithInSampleTop3Abundance.gall_bladder	WithInSampleTop3Abundance.hair_follicle	WithInSampleTop3Abundance.kidney	WithInSampleTop3Abundance.liver	WithInSampleTop3Abundance.lung	WithInSampleTop3Abundance.lymph_node	WithInSampleTop3Abundance.milk	WithInSampleTop3Abundance.nasopharynx	WithInSampleTop3Abundance.oral_cavity	WithInSampleTop3Abundance.ovary	WithInSampleTop3Abundance.pancreas	WithInSampleTop3Abundance.placenta	WithInSampleTop3Abundance.prostate	WithInSampleTop3Abundance.rectum	WithInSampleTop3Abundance.saliva	WithInSampleTop3Abundance.salivary_gland	WithInSampleTop3Abundance.seminal_vesicle	WithInSampleTop3Abundance.skin	WithInSampleTop3Abundance.spleen	WithInSampleTop3Abundance.stomach	WithInSampleTop3Abundance.testis	WithInSampleTop3Abundance.thyroid_gland	WithInSampleTop3Abundance.tonsil	WithInSampleTop3Abundance.tube	WithInSampleTop3Abundance.uterus_post-menopause	WithInSampleTop3Abundance.uterus_pre-menopause	WithInSampleTop3Abundance.vulva
ENSG00000157954	3	3	3	7.29675395659728e-06	3	-	-	-	-	-	-	-	-	-	-	-	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	3	-	-	-	-	-	-	-	-	7.29675395659728e-06	-	-	-	-	-	-	-	-	-	-	-	-	-	6.38309214531185e-06	-	-	-	-	-	-	-	-	-	-	-	-	3.84603171708672e-05	-	-	-	-	-	-	-	-
ENSG00000157978	1	4	7	9.85677021326325e-06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9.85677021326325e-06	-	-	-	-	-	-	-	-
ENSG00000158006	4	10	5	3.46792589828576e-05	-	-	-	-	-	-	-	-	-	-	-	3	-	6	-	-	-	4	-	-	-	-	-	-	-	-	-	-	16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3.95656940377891e-05	-	2.97928239279261e-05	-	-	-	1.44597916610838e-05	-	-	-	-	-	-	-	-	-	-	6.64655796706828e-05	-	-	-	-	-	-	-
ENSG00000158019	13	7	6	2.47760769557175e-05	5	6	-	-	-	6	4	-	-	-	-	-	-	-	11	-	-	-	4.5	6	-	4	-	-	7	-	-	10	10	5.5	-	-	7	-	-	-	2.78694428340446e-05	5.00773621190742e-05	-	-	-	3.34970166321192e-05	1.69355634857146e-05	-	-	-	-	-	-	-	1.88607498101927e-05	-	-	-	1.70553878333469e-05	1.78844996658473e-05	-	1.02604746371217e-05	-	-	2.33891695657211e-05	-	-	5.23427746474923e-05	9.83636738735408e-05	3.50753252003888e-05	-	-	2.22041862391288e-05	-	-	-
ENSG00000158042	2	3	4.5	1.15514277980912e-05	-	-	-	-	-	-	-	-	-	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1.7199098963156e-05	-	-	-	-	-	-	-	-	-	-	-	-	5.90375663302648e-06	-	-	-	-	-	-	-	-	-	-	-
ENSG00000158092	12	10	7	3.91195962263408e-05	6	9	-	-	-	-	-	-	18	-	-	-	-	-	18	-	-	-	9	-	-	6	5	-	-	-	6	8	-	4	-	10	-	-	3	-	2.76435629022267e-05	3.43916107588198e-05	-	-	-	-	-	-	3.83412243982589e-05	-	-	-	-	-	6.25548248741258e-05	-	-	-	9.37341923599144e-05	-	-	1.22327902505779e-05	2.27508400451965e-05	-	-	-	4.14083084308486e-05	8.00182887375192e-05	-	4.85618022433558e-05	-	3.98979680544227e-05	-	-	2.7168237871929e-05	-
ENSG00000158104	6	32	9	0.000114983507128198	-	-	-	-	-	-	-	-	-	253	-	47	110	6	-	-	-	-	-	-	-	-	-	-	-	6	-	-	-	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00275853863649889	-	0.000361959104695365	0.0029220632215413	4.45425432383585e-05	-	-	-	-	-	-	-	-	-	-	-	2.2796798102446e-05	-	-	-	7.88746000183962e-05	-	-	-	-	-	-
ENSG00000158109	6	5	4	1.51089555097591e-05	6	-	-	-	-	-	-	-	3	-	-	-	-	-	-	-	-	4	-	-	-	-	-	-	3	-	-	-	-	5.5	-	4	-	-	-	-	2.78095334349441e-05	-	-	-	-	-	-	-	1.57453873670174e-05	-	-	-	-	-	-	-	-	8.61252032564378e-06	-	-	-	-	-	-	1.21222188508597e-05	-	-	-	-	2.15318601312724e-05	-	1.51089555097591e-05	-	-	-	-
ENSG00000158125	8	55	21	8.81154781546221e-05	-	-	-	-	-	-	-	-	20	80	-	-	49	8	-	1240	-	-	-	-	-	-	5	-	-	-	-	-	22	-	-	8	-	-	-	-	-	-	-	-	-	-	-	-	2.41322969056144e-05	0.000183524999713486	-	-	0.000268783486481807	1.28483723902454e-05	-	0.00364553336189339	-	-	-	-	-	-	4.20522838379577e-06	-	-	-	-	-	3.04758711996878e-05	-	-	5.73888217088507e-06	-	-	-	-
ENSG00000158158	3	11	6	7.27700587656672e-06	-	-	-	-	-	-	3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	-	-	-	-	-	15	-	-	-	-	-	-	-	-	-	-	-	-	-	7.27700587656672e-06	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7.17306357784018e-06	-	-	-	-	-	4.78628522302275e-05	-	-	-	-	-	-	-
