GENE	adrenal_gland	bcells	cd4tcells	cd8tcells	colon	esophagus	fetal_brain	fetal_gut	fetal_heart	fetal_liver	fetal_ovary	fetal_placenta	fetal_testis	frontalcortex	gall_bladder	heart	kidney	liver	lung	monocytes	nkcells	ovary	pancreas	platelets	prostate	rectum	retina	spinalcord	testis	urinarybladder
ENSG00000213246	3.57556103886911	x	7.39720992129604	8.44372654517449	4.55645934749297	x	5.12265159593496	5.87294569131486	8.6453846808793	4.4008555738528	22.1668830893881	7.84292983247533	8.3151311488076	x	x	x	x	x	22.8835422529802	6.04808242462205	11.1368819324684	7.58950946621229	8.12222146672026	x	x	4.15367892609356	10.1608116724034	x	3.6666803936503	5.03993513563161
ENSG00000101343	12.3141753695116	23.2471620070343	22.709597525766	23.2794344768407	6.97620829878388	6.58679448065084	10.7330566862698	4.08483232651943	9.28678329462007	5.26327795128984	21.301155437768	5.56266918308348	9.60825041298074	1.11639563185648	5.66534672271306	x	2.25519904567193	5.01740606190864	3.80327657727792	26.0615826424056	17.8105392504366	18.0007003154415	14.3771013642881	3.33524220362121	4.63700560692511	5.04418784212519	14.8215912397333	x	14.6290528775643	1.36056848578619
ENSG00000116194	x	x	2.65307452018325	x	2.33067857855978	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	2.93038922519794	1.99295248951932	x	x	2.21273313743564	x	x	x	2.52110828162086
ENSG00000185973	8.29752371025698	18.110632502226	18.410831918831	4.0875513156712	13.7766805808936	4.17014874086529	9.09217973971845	10.7778594005039	22.9569780751498	2.51820826667299	13.7648658227974	3.65834735065704	22.6316784661454	17.78736304136	x	21.1415927163023	14.17756947446	15.2054793978983	x	7.34253369503845	1.53342921068805	24.6358382778768	9.40935080121628	x	2.00707859690884	3.82079017723178	16.3796215375238	19.9176024324267	14.3372734727542	2.11676015126199
ENSG00000185104	5.17058540724243	5.41856945623445	7.95450120129312	6.47423091038885	5.58383627487592	x	7.48109179099986	4.648516044233	4.72175739163767	2.26773296264375	5.26448579469198	1.89026459069341	3.36478695521223	7.36015292539443	0.998285695885312	2.11581317281176	5.83036936789234	3.00035281614438	2.20611177477755	6.69452163466099	10.1925692232209	11.5043096104094	10.7542581403581	4.07002223082173	7.28408465801212	2.13064295936448	7.46921891493857	5.70426145919754	12.688242292264	10.5113956184224
ENSG00000196083	x	1.05487603313108	x	0.857089223927581	1.44155031978905	3.29622880637773	x	12.0607582975358	x	1.621549052916	x	2.38055306018049	x	x	7.68566957949189	x	x	3.08959013521402	4.76368427019021	14.4358307479918	x	0.906238973393931	x	x	2.10014653110875	x	x	x	1.64678483437476	3.11866636869265
ENSG00000115919	4.39997295952618	6.52749224433282	x	0.302913552436667	x	x	x	x	x	6.9986610878475	x	2.95312090720732	x	x	0.543255803522977	x	5.60734057706055	13.2869022851667	3.36717458272912	15.5831554643178	0.283538229607505	x	0.871298633443548	x	x	x	x	0.365772925493322	x	0.391398847504175
ENSG00000166743	x	x	x	x	x	x	x	4.38984613312743	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000106125	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	2.49483523886666	x
ENSG00000144460	x	x	x	x	x	x	6.97308746654609	5.59459885193312	x	x	x	x	x	1.56766927093907	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000273884	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	10.3997900823171	x	x	x	x	x	x	x	x	x	x
ENSG00000125457	7.67426098871579	22.3777033337892	11.3519433908403	13.5330540060783	5.09674192097854	x	38.4817870704428	5.87778289701	3.69739982871278	6.45021245806548	11.4759090034996	x	10.796198276748	6.67444502039714	21.7387482345079	x	x	3.51583259755454	10.8769937749409	33.6545462262259	11.1428183456456	20.3822621353609	17.4328019200802	24.635489392588	3.88784350896254	x	6.15638538814926	14.636650886625	7.86983133477131	11.7465671098118
ENSG00000160255	4.91499417432499	364.163056707232	151.378019466653	331.10244397241	24.1834045045764	4.67639822331099	x	3.71941981037077	1.18400316623285	6.88091570474131	x	7.55747900576756	1.19942233181771	6.49185111990907	31.8736797957842	x	x	8.78150260930353	51.3819382469834	876.170599472837	407.494951462106	13.3384501817104	11.8582457250453	14.4515719019097	12.2254584436547	18.0447509351771	7.885736062963	25.8019375422915	5.644658851448	10.030813216271
ENSG00000165312	x	1.94682712831181	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x
ENSG00000135315	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	0.86443428127139	x
ENSG00000166484	7.4332655910107	6.29830572175	4.81382573972274	3.06045504383889	x	x	10.285427608871	x	3.68077891893709	2.68436870604219	7.42407948985382	x	5.0601704552574	1.0851178367438	x	x	x	x	x	6.77940764350384	1.91602538039645	8.35718703806932	2.94392452455799	3.24179950345357	x	x	4.15858196746372	x	7.57419535510949	x
ENSG00000077327	x	x	x	x	x	x	x	x	2.04358091615858	x	x	x	x	x	x	x	x	x	x	x	x	19.2863119547458	x	x	x	x	x	x	28.9626053343809	x
ENSG00000147613	x	x	x	x	x	26.9931717532869	x	x	x	3.73497551940176	x	9.74730235609453	x	x	x	x	x	x	x	x	x	x	5.04720494320022	x	x	x	x	x	x	x
ENSG00000178301	2.7298544548615	x	x	x	x	x	x	x	4.47547424004747	4.28738572916564	8.43622262935058	4.81433071424756	13.7158016243642	x	x	59.928296991216	15.766029598198	7.25291942635374	x	x	x	x	x	x	x	x	2.95083179756396	x	x	x
ENSG00000187054	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	2.61229563407161	x	x	x	2.48330170198819	x	x	x	x	x	x	x	x	x
ENSG00000133392	4.59161146668631	x	x	x	28.9925953490786	30.0949678390466	x	8.82326257698141	1.66561528201082	1.04172391699181	1.30779074329077	x	x	x	35.5201897063417	x	3.32907601944365	1.24050886820004	8.21342736095789	x	x	7.99078657327039	3.83911273145721	x	22.9377572346407	41.8126139690218	1.15079484830529	1.06033789496146	4.66075363938263	46.8223825500123
