GENE	adrenal_gland	bcells	cd4tcells	cd8tcells	colon	esophagus	fetal_brain	fetal_gut	fetal_heart	fetal_liver	fetal_ovary	fetal_placenta	fetal_testis	frontalcortex	gall_bladder	heart	kidney	liver	lung	monocytes	nkcells	ovary	pancreas	platelets	prostate	rectum	retina	spinalcord	testis	urinarybladder
ENSG00000111364	x	74.7339843297728	69.9716131321131	70.9905814489542	10.5448519784019	x	x	x	x	x	x	x	7.01284209895892	x	x	x	x	x	x	24.2534203579623	39.063023082716	x	16.199874861521	x	x	x	11.6134092082913	x	x	x
ENSG00000155761	x	x	x	x	x	x	x	4.372291791325	x	2.79231802775839	x	x	x	x	x	x	x	x	x	x	x	x	3.23693340134521	x	x	x	x	x	6.93603828390581	x
ENSG00000161860	x	x	x	x	x	x	x	x	x	x	80.7220553284506	x	x	x	x	x	x	x	x	x	x	81.4434583793185	x	x	x	x	x	x	169.056777148911	x
ENSG00000132300	76.0243976577857	33.8677849317179	37.1703041057465	24.3081916560238	19.8619592393378	17.8109917795365	10.004758418103	18.5196777517252	58.6517740248226	46.9114830510187	34.9928688811357	x	28.8157619361736	28.4352544252866	19.364576282639	37.891925333411	42.1554228838747	19.9783027368092	13.1399959377354	34.4697316144045	26.4620831477868	23.6916935948612	39.8936551639287	x	6.30202101038309	8.38737299810034	24.0410791387403	5.5668501126293	19.1428910012007	3.40860667723236
ENSG00000136869	x	x	x	x	x	x	x	x	x	x	x	x	x	x	x	8.77925880415121	x	x	x	11.4295663469534	x	x	x	x	x	x	x	x	x	x
ENSG00000153201	127.19666366871	154.727763350252	145.710942390794	149.28318860393	42.3549903690587	11.0075129210727	27.1900045082288	19.4053747225254	32.9626224876019	52.9295794832279	58.550627971476	45.8649399254602	60.8381488694465	11.3053963303508	55.6746036577965	2.83105906569324	4.39539698921138	18.4730320533469	5.36046083811844	79.0110761666579	130.906559872154	190.162972491865	130.138487509365	x	63.4157344350265	65.871654611739	56.4724573907092	11.528541444037	140.606164137404	16.7964825765261
ENSG00000038532	x	9.00256572226736	17.4387310499927	11.1358408616278	8.46832257270004	x	5.35134904706426	x	2.98267136054546	x	x	x	2.81592426176452	5.74353177473783	x	6.36626388233089	x	x	x	4.78914405923431	5.27132729677428	2.71373416019367	6.50486921228101	15.4552985338329	6.1584399193034	3.99808729376866	13.9896836218294	8.39671303259635	13.9385079314363	x
ENSG00000182771	x	x	x	x	x	x	5.59181465499322	x	x	x	x	x	x	33.9207040278697	5.58797808910229	7.28946342943237	x	x	x	x	x	x	x	x	x	x	x	3.30600785668046	x	x
ENSG00000198888	290.068332451093	141.290965726767	92.2593309524169	78.9573644976641	x	185.021459331833	192.866873866735	119.258106803035	203.057472102928	44.2477250444518	69.5992214045414	x	86.0820435197543	343.493883964589	x	673.212500404509	173.880462822702	121.293147755307	x	92.4339028209478	96.2904205185085	39.1220545981058	x	x	x	63.4072822475646	80.9657019820422	x	x	37.6869308601653
ENSG00000166478	x	35.0846512793487	40.7771617460128	54.7664746143093	10.4552917645032	x	x	x	14.0620677800862	45.0883100200226	7.42721285976271	x	13.1690085428024	x	x	x	x	x	x	44.7940165757498	60.1291102804677	31.7277606004319	7.60520083845071	x	x	x	23.9190931559559	x	27.1604620957832	x
